first,2241,64,47
first,2476,64,45
first,2554,64,56
first,2578,64,48
first,2579,64,46
first,2583,64,61
first,2594,64,45
first,2626,64,55
first,2638,64,58
first,2651,64,45
first,2661,64,51
first,2700,64,52
first,2736,64,61
first,2769,64,61
first,2803,64,53
first,2804,64,58
first,2810,64,58
first,2829,64,53
first,2841,64,56
first,2864,64,47
first,2866,64,52
first,2883,64,12
first,2896,64,38
first,2905,64,61
first,2910,64,56
first,2912,64,57
first,2921,64,54
first,2944,64,16
first,2952,64,45
first,2953,64,48
first,2970,64,62
first,3008,64,6
first,3010,64,55
first,3037,64,63
first,3039,64,14
first,3048,64,27
first,3075,64,16
first,3109,64,60
first,3114,64,60
first,3120,64,62
first,3147,64,52
first,3148,64,5
first,3154,64,61
first,3159,64,60
first,3161,64,57
first,3186,64,53
first,3188,64,60
first,3193,64,62
first,3206,64,15
first,3213,64,50
first,3217,64,13
first,3247,64,50
first,3250,64,64
first,3250,64,64
first,3255,64,10
first,3262,64,14
first,3263,64,20
first,3282,64,60
first,3286,64,63
first,3289,64,11
first,3301,64,64
first,3301,64,64
first,3304,64,7
first,3311,64,16
first,3316,64,59
first,3317,64,5
first,3347,64,18
first,3355,64,60
first,3368,64,62
first,3370,64,22
first,3380,64,61
first,3392,64,6
first,3438,64,19
first,3453,64,25
first,3484,64,45
first,3486,64,58
first,3502,64,37
first,3506,64,11
first,3513,64,56
first,3535,64,11
first,3539,64,4
first,3542,64,24
first,3559,64,23
first,3577,64,35
first,3593,64,1
first,3618,64,26
first,3625,64,26
first,3656,64,29
first,3672,64,12
first,3686,64,8
first,3691,64,24
first,3697,64,2
first,3702,64,37
first,3705,64,14
first,3706,64,9
first,3783,64,15
first,3847,64,62
first,3947,64,10
first,3970,64,11
first,4056,64,22
first,4128,64,16
first,4130,64,30
first,4201,64,18
first,4485,64,36
first,4739,64,7
first,4815,64,48
first,4897,64,32
first,4898,64,34
first,5022,64,10
first,5026,64,27
first,5027,64,59
first,5048,64,41
first,5067,64,21
first,5082,64,49
first,5098,64,22
first,5159,64,52
first,5166,64,24
first,5181,64,22
first,5216,64,42
first,5326,64,62
first,5348,64,17
first,5351,64,53
first,5366,64,36
first,5391,64,45
first,5395,64,46
first,5420,64,14
first,5424,64,41
first,5457,64,40
first,5460,64,15
first,5468,64,56
first,5470,64,27
first,5507,64,29
first,5522,64,45
first,5587,64,49
first,5593,64,41
first,5635,64,51
first,5667,64,62
first,5691,64,49
first,5700,64,38
first,5710,64,61
first,5867,64,3
first,5890,64,38
first,5895,64,62
first,5906,64,60
first,5914,64,57
first,5923,64,38
first,5946,64,60
first,5957,64,6
first,5958,64,58
first,5966,64,41
first,5983,64,24
first,5998,64,3
first,6001,64,35
first,6003,64,58
first,6005,64,42
first,6023,64,43
first,6039,64,9
first,6075,64,22
first,6086,64,52
first,6116,64,29
first,6123,64,60
first,6147,64,60
first,6152,64,42
first,6209,64,20
first,6217,64,6
first,6221,64,25
first,6222,64,8
first,6242,64,4
first,6247,64,38
first,6324,64,58
first,6335,64,6
first,6339,64,2
first,6350,64,38
first,6363,64,60
first,6398,64,23
first,6439,64,39
first,6462,64,40
first,6477,64,44
first,6502,64,21
first,6510,64,40
first,6527,64,32
first,6572,64,1
first,6617,64,38
first,6677,64,42
first,6704,64,41
first,6732,64,46
first,6736,64,44
first,6739,64,14
first,6784,64,56
first,6804,64,33
first,6840,64,14
first,6841,64,58
first,6888,64,19
first,6911,64,59
first,6927,64,21
first,6956,64,43
first,6965,64,51
first,6997,64,17
first,7094,64,36
first,7135,64,31
first,7172,64,51
first,7174,64,31
first,7185,64,8
first,7190,64,20
first,7202,64,9
first,7260,64,22
first,7320,64,18
first,7344,64,14
first,7381,64,17
first,7403,64,21
first,7404,64,31
first,7476,64,4
first,7513,64,45
first,7516,64,23
first,7589,64,30
first,7607,64,54
first,7625,64,60
first,7684,64,33
first,7791,64,61
first,7814,64,18
first,7924,64,18
first,7951,64,50
first,7982,64,28
first,8013,64,39
first,8027,64,26
first,8120,64,33
first,8135,64,53
first,8157,64,22
first,8227,64,21
first,8228,64,60
first,8267,64,62
first,8295,64,58
first,8320,64,52
first,8332,64,36
first,8342,64,38
first,8347,64,25
first,8389,64,62
first,8443,64,15
first,8455,64,47
first,8479,64,32
first,8522,64,26
first,8556,64,56
first,8627,64,47
first,8658,64,38
first,8686,64,63
first,8739,64,9
first,8757,64,60
first,8775,64,53
first,8802,64,23
first,8815,64,10
first,8837,64,29
first,8847,64,63
first,8917,64,22
first,8921,64,26
first,8937,64,52
first,8963,64,16
first,8989,64,58
first,8998,64,18
first,9000,64,60
first,9007,64,59
first,9056,64,62
first,9078,64,51
first,9093,64,26
first,9099,64,57
first,9115,64,58
first,9124,64,46
first,9129,64,41
first,9131,64,41
first,9150,64,29
first,9208,64,38
first,9245,64,64
first,9245,64,64
first,9262,64,56
first,9271,64,56
first,9333,64,35
first,9403,64,8
first,9431,64,44
first,9439,64,4
first,9473,64,21
first,9483,64,14
first,9491,64,8
first,9505,64,19
first,9527,64,10
first,9611,64,40
first,9642,64,49
first,9643,64,3
first,9680,64,19
first,9685,64,49
first,9705,64,53
first,9712,64,17
first,9754,64,8
first,9769,64,20
first,9815,64,35
first,9852,64,50
first,9884,64,17
first,9965,64,43
first,9967,64,20
first,9976,64,42
first,10038,64,51
first,10049,64,16
first,10088,64,5
first,10127,64,48
first,10129,64,44
first,10143,64,8
first,10145,64,49
first,10153,64,59
first,10179,64,51
first,10197,64,12
first,10248,64,31
first,10264,64,28
first,10266,64,47
first,10360,64,24
first,10378,64,34
first,10385,64,9
first,10459,64,18
first,10479,64,26
first,10489,64,19
first,10528,64,44
first,10531,64,60
first,10608,64,20
first,10635,64,64
first,10635,64,64
first,10638,64,27
first,10643,64,41
first,10659,64,62
first,10661,64,22
first,10679,64,37
first,10698,64,41
first,10709,64,41
first,10725,64,34
first,10807,64,23
first,10822,64,49
first,10838,64,33
first,10851,64,7
first,10931,64,12
first,10935,64,50
first,10957,64,6
first,10988,64,22
first,11023,64,13
first,11030,64,39
first,11104,64,4
first,11140,64,26
first,11157,64,45
first,11246,64,33
first,11336,64,23
