key 0 : 4159140.417480
key 1 : 5086581.298340
key 2 : 4368710.851562
key 3 : 4478611.042480
key 4 : 4419825.070312
key 5 : 7398617.229004
key 6 : 4836326.118652
key 7 : 2553427.510254
key 8 : 7860429.635254
key 9 : 4893845.896484
key 10 : 5417023.714355
key 11 : 5313502.921387
key 12 : 7651087.242676
key 13 : 5963515.787109
key 14 : 5444047.718262
key 15 : 4246004.250000
key 16 : 5351926.281250
key 17 : 4511120.965332
key 18 : 3318359.642090
key 19 : 5291152.267090
key 20 : 6329101.913574
key 21 : 3889310.900879
key 22 : 3107700.804199
key 23 : 4298780.574219
key 24 : 4669107.649902
key 25 : 4245969.598145
key 26 : 3394511.127441
key 27 : 3958754.259277
key 28 : 4380010.467285
key 29 : 3946316.125000
key 30 : 3933370.479004
key 31 : 3816384.093750
key 32 : 4301266.882812
key 33 : 3185054.771484
key 34 : 4309636.080566
key 35 : 4310134.794922
key 36 : 3929013.632812
key 37 : 3378947.875000
key 38 : 4106237.656250
key 39 : 3947902.168457
key 40 : 4312598.787598
key 41 : 4417517.875000
key 42 : 2512296.539062
key 43 : 4432364.066895
key 44 : 4776614.343262
key 45 : 2965428.768066
key 46 : 4152652.234863
key 47 : 4125828.322754
key 48 : 3111862.867676
key 49 : 3946356.709473
key 50 : 3373236.250000
key 51 : 3773223.154297
key 52 : 3750134.744141
key 53 : 3927484.068359
key 54 : 4409150.779785
key 55 : 3855521.054199
key 56 : 3548414.734863
key 57 : 3452684.867188
key 58 : 3354482.043457
key 59 : 3240933.441895
key 60 : 2743744.031250
key 61 : 2990737.094238
key 62 : 3355443.034668
key 63 : 3309994.273438
key 64 : 3828694.570801
key 65 : 3370760.775879
key 66 : 3393474.340332
key 67 : 2654649.685547
key 68 : 1837621.884766
key 69 : 3239230.307129
key 70 : 3699153.899902
key 71 : 3771936.199707
key 72 : 2819421.399902
key 73 : 2732544.804688
key 74 : 3229805.669434
key 75 : 3332377.833984
key 76 : 3857668.168457
key 77 : 3741721.531250
key 78 : 2655890.595215
key 79 : 2444892.330566
key 80 : 2555336.619141
key 81 : 1619149.845215
key 82 : 2406041.834473
key 83 : 2473689.258789
key 84 : 2873521.629395
key 85 : 3353327.875000
key 86 : 3140694.478027
key 87 : 3208726.510254
key 88 : 3490670.902832
key 89 : 3497677.554688
key 90 : 1786342.239746
key 91 : 3722965.639160
key 92 : 4328457.055176
key 93 : 2182644.142090
key 94 : 2696862.142090
key 95 : 1644568.833984
key 96 : 942139.767090
key 97 : 2328688.679688
key 98 : 2613458.425293
key 99 : 1642691.648438
