0,1,6.46956,3.31551e-07,0.186457
0,1,6.79711,2.71946e-07,0.18658
0,1,6.82591,2.68221e-07,0.185338
0,1,6.94637,3.42727e-07,0.183645
0,1,6.93847,2.79397e-07,0.183375
0,1,6.76152,3.31551e-07,0.18719
0,1,7.16074,3.39001e-07,0.18555
0,1,6.97103,6.92904e-07,0.183284
0,1,7.00626,2.83122e-07,0.183995
0,1,7.06516,2.94298e-07,0.187819
1000,1,22.7844,3.20375e-07,0.182948
1000,1,22.7578,2.71946e-07,0.188332
1000,1,22.7198,3.12924e-07,0.184202
1000,1,22.8089,2.6077e-07,0.184565
1000,1,22.5641,3.20375e-07,0.183461
1000,1,22.7776,2.6077e-07,0.184246
1000,1,22.5266,3.20375e-07,0.187315
1000,1,22.6065,3.01749e-07,0.184914
1000,1,22.649,3.20375e-07,0.183758
1000,1,22.694,2.79397e-07,0.188783
10000,1,164.901,3.09199e-07,0.187285
10000,1,165.165,2.6077e-07,0.183534
10000,1,165.116,1.82539e-07,0.183039
10000,1,165.266,2.6077e-07,0.185258
10000,1,165.111,2.71946e-07,0.184225
10000,1,165.374,2.79397e-07,0.185239
10000,1,164.823,5.62519e-07,0.192273
10000,1,165.027,2.71946e-07,0.187693
10000,1,165.127,2.83122e-07,0.18304
10000,1,164.944,2.30968e-07,0.183757
0,2,7.38976,0.10409,0.18898
0,2,7.46374,0.104881,0.188159
0,2,7.47148,0.104616,0.188956
0,2,7.61819,0.102236,0.188063
0,2,7.57287,0.104872,0.188047
0,2,7.47017,0.104349,0.189629
0,2,7.39875,0.104611,0.18996
0,2,7.52387,0.105055,0.188871
0,2,7.43019,0.104295,0.190131
0,2,7.55576,0.104475,0.188535
1000,2,17.7917,0.102455,0.192684
1000,2,16.7111,0.104834,0.190091
1000,2,15.9745,0.103829,0.186771
1000,2,17.7259,0.118737,0.190256
1000,2,17.6718,0.116299,0.191795
1000,2,17.8567,0.10924,0.190785
1000,2,15.3924,0.105427,0.191613
1000,2,17.8157,0.11772,0.193706
1000,2,17.7783,0.118627,0.190713
1000,2,16.7398,0.105068,0.188071
10000,2,88.6563,0.101758,0.182859
10000,2,87.1511,0.103434,0.185866
10000,2,89.2412,0.11524,0.188062
10000,2,89.2887,0.115595,0.185187
10000,2,89.4337,0.115373,0.189138
10000,2,89.1336,0.114598,0.185999
