0,5.61502,0.204606
0,5.7052,0.207616
0,5.62077,0.205562
0,5.53906,0.207681
0,5.59136,0.207875
0,5.68116,0.208319
0,5.56131,0.20683
0,5.5952,0.207971
0,5.49521,0.206176
0,5.68114,0.210701
1000,19.9021,0.206079
1000,20.2002,0.206174
1000,19.8505,0.203789
1000,19.7268,0.205184
1000,19.8439,0.204496
1000,19.8523,0.206816
1000,19.8619,0.207601
1000,19.8512,0.205341
1000,19.8204,0.205925
1000,19.973,0.20803
10000,147.572,0.206842
10000,147.607,0.208175
10000,147.648,0.207992
10000,147.398,0.19859
10000,147.746,0.209028
10000,147.576,0.204046
10000,147.5,0.206613
10000,154.005,0.208312
10000,147.596,0.207968
10000,147.442,0.20736
