0,6.04336,0.179935
0,6.0873,0.183073
0,6.35714,0.179825
0,5.92658,0.183224
0,5.96092,0.180571
0,5.96764,0.182289
0,5.92224,0.180542
0,6.08426,0.182395
0,5.8617,0.180535
0,5.93012,0.183246
1000,22.1017,0.181602
1000,22.1858,0.180988
1000,22.1286,0.181611
1000,22.1403,0.182387
1000,22.109,0.182814
1000,22.1248,0.181269
1000,22.2783,0.181587
1000,22.1898,0.182489
1000,22.5222,0.182272
1000,22.535,0.182011
10000,164.431,0.181575
10000,164.429,0.181373
10000,164.433,0.181894
10000,164.371,0.181756
10000,164.357,0.182534
10000,164.559,0.182717
10000,164.384,0.180728
10000,164.483,0.181579
10000,164.462,0.182179
10000,164.272,0.181504
